reaction_handle,catalyst_id,imine_id,thiol_id,product_id,selectivity_ee_percent,selectivity_ddGact_kcal\,Avg ee R,Avg ee S,React hndl,Plt 1: R ee,Plt 1:  S ee,Plate 2: R ee,Plt 2: R ee,Plt 3: R ee,Plt 3: S ee,Diff of avg.
1_i_1_A,1_i,1,A,1_A,76,1.180363548,88,12,1_i_1_A,89,11,87,13,88,12,76
1_i_1_B,1_i,1,B,1_B,40,0.50195963,70,30,1_i_1_B,70,30,70,30,70,30,40
1_i_1_C,1_i,1,C,1_C,50,0.650844341,75,25,1_i_1_C,77,23,73,27,75,25,50
1_i_1_D,1_i,1,D,1_D,78,1.238605308,89,11,1_i_1_D,90,10,88,12,89,11,78
1_i_1_E,1_i,1,E,1_E,80,1.301688683,90,10,1_i_1_E,91,10,90,11,90,10,80
1_i_2_A,1_i,2,A,2_A,76,1.180363548,88,12,1_i_2_A,90,10,86,14,88,12,76
1_i_2_B,1_i,2,B,2_B,40,0.50195963,70,30,1_i_2_B,70,30,70,30,70,30,40
1_i_2_C,1_i,2,C,2_C,54,0.715832618,77,23,1_i_2_C,78,22,76,24,77,23,54
1_i_2_D,1_i,2,D,2_D,74,1.126173688,87,13,1_i_2_D,88,12,86,14,87,13,74
1_i_2_E,1_i,2,E,2_E,78,1.238605308,89,11,1_i_2_E,88,12,90,10,89,11,78
1_i_3_A,1_i,3,A,3_A,74,1.126173688,87,13,1_i_3_A,87,13,87,13,87,13,74
1_i_3_B,1_i,3,B,3_B,38,0.474009916,69,31,1_i_3_B,70,30,68,32,69,31,38
1_i_3_C,1_i,3,C,3_C,48,0.619656928,74,26,1_i_3_C,73,27,75,25,74,26,48
1_i_3_D,1_i,3,D,3_D,74,1.126173688,87,13,1_i_3_D,88,12,86,14,87,13,74
1_i_3_E,1_i,3,E,3_E,74,1.126173688,87,13,1_i_3_E,85,15,89,11,87,13,74
1_i_4_A,1_i,4,A,4_A,78,1.238605308,89,11,1_i_4_A,88,12,90,10,89,11,78
1_i_4_B,1_i,4,B,4_B,20,0.240207281,60,40,1_i_4_B,61,40,60,41,60,40,20
1_i_4_C,1_i,4,C,4_C,44,0.559521771,72,28,1_i_4_C,73,28,72,29,72,28,44
1_i_4_D,1_i,4,D,4_D,72,1.075421434,86,14,1_i_4_D,84,16,88,12,86,14,72
1_i_4_E,1_i,4,E,4_E,74,1.126173688,87,13,1_i_4_E,85,15,89,11,87,13,74
1_i_5_A,1_i,5,A,5_A,76,1.180363548,88,12,1_i_5_A,89,11,87,13,88,12,76
1_i_5_B,1_i,5,B,5_B,32,0.392951447,66,34,1_i_5_B,67,34,66,35,66,34,32
1_i_5_C,1_i,5,C,5_C,44,0.559521771,72,28,1_i_5_C,74,26,70,30,72,28,44
1_i_5_D,1_i,5,D,5_D,80,1.301688683,90,10,1_i_5_D,91,9,89,11,90,10,80
1_i_5_E,1_i,5,E,5_E,70,1.027619382,85,15,1_i_5_E,86,15,85,16,85,15,70
144_i_1_A,144_i,1,A,1_A,86,1.532416977,93,7,144_i_1_A,94,6,92,8,93,7,86
144_i_1_B,144_i,1,B,1_B,68,0.982374193,84,16,144_i_1_B,84,16,84,16,84,16,68
144_i_1_C,144_i,1,C,1_C,72,1.075421434,86,14,144_i_1_C,88,12,84,16,86,14,72
144_i_1_D,144_i,1,D,1_D,82,1.370652975,91,9,144_i_1_D,92,8,90,10,91,9,82
