reaction_handle,catalyst_id,imine_id,thiol_id,product_id,selectivity_ee_percent,selectivity_ddGact_kcal
1_i_1_A,1_i,1,A,1_A,76,1.180363548
1_i_1_B,1_i,1,B,1_B,40,0.50195963
1_i_1_C,1_i,1,C,1_C,50,0.650844341
1_i_1_D,1_i,1,D,1_D,78,1.238605308
1_i_1_E,1_i,1,E,1_E,80,1.301688683
1_i_2_A,1_i,2,A,2_A,76,1.180363548
1_i_2_B,1_i,2,B,2_B,40,0.50195963
1_i_2_C,1_i,2,C,2_C,54,0.715832618
1_i_2_D,1_i,2,D,2_D,74,1.126173688
1_i_2_E,1_i,2,E,2_E,78,1.238605308
1_i_3_A,1_i,3,A,3_A,74,1.126173688
1_i_3_B,1_i,3,B,3_B,38,0.474009916
1_i_3_C,1_i,3,C,3_C,48,0.619656928
1_i_3_D,1_i,3,D,3_D,74,1.126173688
1_i_3_E,1_i,3,E,3_E,74,1.126173688
1_i_4_A,1_i,4,A,4_A,78,1.238605308
1_i_4_B,1_i,4,B,4_B,20,0.240207281
1_i_4_C,1_i,4,C,4_C,44,0.559521771
1_i_4_D,1_i,4,D,4_D,72,1.075421434
1_i_4_E,1_i,4,E,4_E,74,1.126173688
1_i_5_A,1_i,5,A,5_A,76,1.180363548
1_i_5_B,1_i,5,B,5_B,32,0.392951447
1_i_5_C,1_i,5,C,5_C,44,0.559521771
1_i_5_D,1_i,5,D,5_D,80,1.301688683
1_i_5_E,1_i,5,E,5_E,70,1.027619382
144_i_1_A,144_i,1,A,1_A,86,1.532416977
144_i_1_B,144_i,1,B,1_B,68,0.982374193
144_i_1_C,144_i,1,C,1_C,72,1.075421434
144_i_1_D,144_i,1,D,1_D,82,1.370652975
144_i_1_E,144_i,1,E,1_E,88,1.630075694
144_i_2_A,144_i,2,A,2_A,84,1.446905122
144_i_2_B,144_i,2,B,2_B,72,1.075421434
144_i_2_C,144_i,2,C,2_C,60,0.82127412
144_i_2_D,144_i,2,D,2_D,82,1.370652975
144_i_2_E,144_i,2,E,2_E,84,1.446905122
144_i_3_A,144_i,3,A,3_A,78,1.238605308
144_i_3_B,144_i,3,B,3_B,60,0.82127412
